CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Acionista;Tipo_Classe_Acao_Preferencial;Quantidade_Acoes;Percentual_Acoes
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7670600;Ordinária Classe O;899481094;100.000000
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7670602;Ordinária Classe O;1;100.000000
01.543.032/0001-04;2024-12-31;12;147160;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;7670603;Ordinária Classe O;1;100.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656399;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656496;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656497;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656501;;0;100.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656591;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656592;;0;100.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656694;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656695;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656699;;0;100.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656789;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656790;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656791;;0;100.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656796;;0;0.000000
01.548.981/0001-79;2024-12-31;5;146662;INVESTIMENTOS BEMGE S.A.;7656797;;0;100.000000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571076;Ordinária Classe A;51613;0.150000
01.896.779/0001-38;2024-12-31;3;143852;CSU DIGITAL S.A.;7571093;Ordinária Classe A;15385992;44.788000
