CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Constituicao_Emissor;Forma_Constituicao_Emissor;Sigla_Pais_Constituicao_Emissor;Pais_Constituicao_Emissor;Prazo_Duracao_Emissor;Data_Registro_Emissor;Requisicao_Registro_Emissor
91.669.747/0001-92;2020-01-01;3;103336;DM FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;1962-09-12;SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;BR;Brasil;;1977-07-20;N
91.983.056/0001-69;2020-01-01;12;103011;KEPLER WEBER S.A.;1936-04-30;A Companhia foi constituída na cidade de Panambi, no Estado do Rio Grande do Sul, Brasil, sob a forma de sociedade limitada. Em 21 de setembro de 1963, transformou-se em S/A, passando a atuar como Kepler Weber S/A.;BR;Brasil;;1980-12-15;N
92.012.467/0001-70;2020-01-01;4;103338;GRAZZIOTIN S.A.;1950-05-24;LTDA;BR;Brasil;;1979-01-31;N
92.660.570/0001-26;2020-01-01;6;103224;TREVISA INVESTIMENTOS S.A.;1930-07-07;Foi constituida sob a forma de Cia Ltda e, em 1963 transformada em sociedade anônima.;BR;Brasil;;1980-12-15;N
92.665.611/0001-77;2020-01-01;12;103126;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;1920-01-23;Sociedade Anônima;BR;Brasil;;1977-07-20;N
92.690.783/0001-09;2020-01-01;9;104259;METALURGICA GERDAU S.A.;1901-02-01;Sociedade por ações;BR;Brasil;;1968-05-17;N
92.693.019/0001-89;2020-01-01;2;102938;PANATLANTICA S.A.;1967-07-20;Sociedade Anonima;BR;Brasil;;1971-12-29;N
92.702.067/0001-96;2020-01-01;14;104230;BCO ESTADO DO RIO GRANDE DO SUL S.A.;1928-09-12;Sociedade por ações;BR;Brasil;;1977-07-20;N
92.715.812/0001-31;2020-01-01;16;104598;CPFL TRANSMISSÃO S.A.;1966-09-13;A CEEE - GT é uma empresa de economia mista, responsável pelo serviço público de energia elétrica, integrada pelas áreas de Geração, Transmissão e Comercialização, originada do processo de reestruturação societária da Companhia Estadual de Energia Elétrica do Rio Grande do Sul - CEEE, concluído em novembro de 2006, quando foram criadas as empresas que compõem o Grupo CEEE.;BR;Brasil;;1970-01-07;N
92.721.232/0001-57;2020-01-01;1;95305;BANRISUL ARMAZENS GERAIS SA;1953-11-12;Ações Ordinárias Nominativas;BR;Brasil;;1996-10-18;N
92.749.225/0001-63;2020-01-01;2;103575;HERCULES S.A. FABRICA DE TALHERES;1936-10-13;Sociedade Anônima de Capital Aberto;BR;Brasil;;1968-11-01;N
92.754.738/0001-62;2020-01-01;9;102079;LOJAS RENNER S.A.;1965-06-10;Sociedade anônima fechada. A Companhia abriu seu capital em 1967.;BR;Brasil;;1977-07-20;N
92.781.335/0001-02;2020-01-01;11;103755;TAURUS ARMAS S.A.;1939-11-17;Sociedade Limitada;BR;Brasil;;1982-03-02;N
92.791.243/0001-03;2020-01-01;14;103613;IRANI PAPEL E EMBALAGEM S.A.;1941-06-06;Constituída na forma de sociedade por cotas de responsabilidade limitada. Posteriormente, transformou-se em sociedade por ações em 14 de outubro de 1964.;BR;Brasil;;1977-07-20;N
92.802.784/0001-90;2020-01-01;6;104980;CIA RIOGRANDENSE DE SANEAMENTO;1965-12-21;Empresa de Economia Mista - Sociedade Anônima.;BR;Brasil;;1997-12-19;N
92.929.520/0001-00;2020-01-01;1;95502;SPRINGER S.A.;1934-05-24;Contituída sob a forma de sociedade por ações;BR;Brasil;;1968-10-24;N
92.934.215/0001-06;2020-01-01;5;103408;BANRISUL SOLUÇÕES EM PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAME;1969-07-02;Sociedade por ações;BR;Brasil;;2018-09-27;N
93.828.986/0001-73;2020-01-01;2;104955;CEMEPE INVESTIMENTOS S.A.;1991-03-01;Sociedade Anônima;BR;Brasil;;1991-06-28;N
95.426.862/0001-97;2020-01-01;4;100597;EXCELSIOR ALIMENTOS S.A.;1932-11-23;Sociedade por ações, constituída em 23 de novembro de 1932 como sociedade limitada, sob a denominação Baumhardt Irmãos Ltda.;BR;Brasil;;1977-07-20;N
96.298.013/0001-68;2020-01-01;2;97480;PACAEMBU CONSTRUTORA S.A.;1992-01-04;Constituída sob a forma de sociedade limitada, tendo sido transformada em sociedade anônima de capital fechado em 1º de maio de 2018.;BR;Brasil;;2020-10-01;N
96.418.264/0218-02;2020-01-01;10;103744;LOJAS QUERO QUERO S.A.;1967-08-15;Sociedade Limitada;BR;Brasil;;2020-08-06;N
97.191.902/0001-94;2020-01-01;1;95281;CONSERVAS ODERICH S.A.;1908-08-12;A Companhia foi constituída no ano de 1908 sob a forma de sociedade empresária limitada, vindo posteriormente a ter sua forma jurídica transformada em companhia aberta, com ingresso na CVM no ano de 1977.;BR;Brasil;;1977-07-20;N
