CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
47.508.411/0001-56;2020-01-01;14;104129;CIA BRASILEIRA DE DISTRIBUICAO;22372;252;1192;156928631;58.479000;0;0.000000;156928631;58.479000;2020-12-31
47.509.120/0001-82;2020-01-01;3;103479;BRADESCO LEASING S.A. ARREND MERCANTIL;0;1;0;0;0.000000;0;0.000000;0;0.000000;2020-04-30
47.960.950/0001-21;2020-01-01;5;103504;MAGAZINE LUIZA S.A.;388643;1671;913;2668955512;41.067634;0;0.000000;2668955512;41.067634;2020-10-07
49.263.189/0001-02;2020-01-01;7;104562;HELBOR EMPREENDIMENTOS S.A.;56723;396;38;65261522;48.756814;0;0.000000;65261522;48.756814;2020-06-30
49.669.856/0001-43;2020-01-01;8;103607;VESTE S.A. ESTILO;5017;126;0;38348692;55.700000;0;0.000000;38348692;55.700000;2020-04-13
50.564.053/0001-03;2020-01-01;4;104124;BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL;5644;39;26;0;0.000000;70992373;57.766942;70992373;27.251327;2020-04-27
50.746.577/0001-15;2020-01-01;10;104695;COSAN S.A.;77611;1915;1517;1169237744;62.390261;0;0.000000;1169237744;62.390261;2021-04-30
50.926.955/0001-42;2020-01-01;8;104394;VULCABRAS S.A.;29488;145;181;74685291;30.390000;0;0.000000;74685291;30.390000;2020-07-24
51.128.999/0001-90;2020-01-01;3;99183;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;186;5;1;32134;25.115676;0;0.000000;32134;25.115676;2020-04-30
51.218.147/0001-93;2020-01-01;4;103869;IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;39517;1044;0;85796919;48.794419;0;0.000000;85796919;48.794419;2020-06-25
51.466.860/0001-56;2020-03-31;4;95823;SAO MARTINHO S.A.;2360;37;526;147017773;41.529115;0;0.000000;147017773;41.529115;2019-06-24
51.928.174/0001-50;2020-01-01;2;103386;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;1515;18;0;4970927;40.000000;0;0.000000;4970927;40.000000;2021-04-30
52.548.435/0001-79;2020-01-01;18;105094;JSL S.A.;0;1;0;63399039;22.640000;0;0.000000;63399039;22.640000;2020-08-05
53.113.791/0001-22;2020-01-01;19;103190;TOTVS S.A.;65401;480;1191;480960677;83.223690;0;0.000000;480960677;83.223690;2021-04-20
56.444.250/0001-75;2020-01-01;2;95309;HAUSCENTER SA;3;1;0;2327;100.000000;0;0.000000;2327;100.000000;2020-06-12
56.643.018/0001-66;2020-01-01;6;103527;EUCATEX S.A. INDUSTRIA E COMERCIO;4312;23;113;12765018;40.840000;56114621;91.450000;68879639;74.370000;2019-04-30
56.720.428/0001-63;2020-01-01;7;102288;ROMI S.A.;27042;97;184;37272660;50.800000;0;0.000000;37272660;50.800000;2020-11-27
56.992.423/0001-90;2020-01-01;2;103757;BICICLETAS MONARK S.A.;456;22;1;137475;30.230896;0;0.000000;137475;30.230896;2020-04-30
58.119.199/0001-51;2020-01-01;7;103376;ODONTOPREV S.A.;38651;472;347;263448316;49.576000;0;0.000000;263448316;49.576000;2020-04-28
58.430.828/0001-60;2020-01-01;3;99544;BLAU FARMACÊUTICA S.A.;1;1;0;0;0.000000;0;0.000000;0;0.000000;2019-12-10
