CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Valor_Mobiliario;Quantidade_Pessoa_Fisica;Quantidade_Pessoa_Juridica;Quantidade_Investidor
08.926.302/0001-05;2022-01-01;9;123486;DOMMO ENERGIA S.A.;Debêntures;0;1;0
08.937.002/0001-13;2022-01-01;1;116224;VISION SECURITIZADORA S.A.;Certificados de Recebíveis Imobiliários;0;1;1
09.041.168/0001-10;2022-01-01;4;125600;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Debêntures;0;0;4
09.053.134/0001-45;2022-01-01;7;122237;ELFA MEDICAMENTOS S.A.;Bônus de Subscrição;18980314;0;0
09.053.134/0001-45;2022-01-01;7;122237;ELFA MEDICAMENTOS S.A.;Debêntures;0;0;700000000
09.054.385/0001-44;2022-01-01;1;116425;INBRANDS S.A.;Bônus de Subscrição;0;1;0
09.054.385/0001-44;2022-01-01;1;116425;INBRANDS S.A.;Debêntures;0;5;5
09.095.183/0001-40;2022-01-01;3;126164;ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S/A;Debêntures;30;40;160
09.112.685/0001-32;2022-01-01;5;125656;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Debêntures;0;0;0
09.114.805/0001-30;2022-01-01;14;125374;OCEANPACT SERVIÇOS MARITIMOS S.A.;Debêntures;0;0;6
09.257.877/0001-37;2022-01-01;4;124758;FERROVIA NORTE SUL S/A;Debêntures;0;0;2
09.288.252/0001-32;2022-01-01;12;127061;ANIMA HOLDING S.A.;Debêntures;0;1;1
09.304.427/0001-58;2022-01-01;2;123000;HABITASEC SECURITIZADORA SA;Certificados de Recebíveis Imobiliários;2780;118;328
09.305.994/0001-29;2022-01-01;17;127023;AZUL S.A.;Debêntures Conversíveis;0;0;3
09.313.969/0001-97;2022-01-01;5;127197;AUTOPISTA LITORAL SUL;Debêntures;21585;110;98
09.346.601/0001-25;2022-01-01;16;126917;B3 S.A. - BRASIL, BOLSA, BALCÃO;Debêntures;0;27;620
09.347.516/0001-81;2022-01-01;13;125375;ELETROMIDIA S.A.;Debêntures;0;0;3
09.359.927/0001-97;2022-01-01;4;126218;ASA BRANCA HOLDING S.A.;Debêntures;0;0;11
09.391.823/0001-60;2022-01-01;14;126956;SANTO ANTONIO ENERGIA S.A.;Debêntures;7100;74;152
09.414.761/0001-64;2022-01-01;1;116257;K-INFRA RODOVIA DO AÇO S.A.;Debêntures;0;0;0
09.584.854/0001-37;2022-01-01;4;120710;MANAUS TRANSMISSORA DE ENERGIA S.A;Debêntures;0;32;0
09.611.768/0001-76;2022-01-01;9;122601;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Debêntures;0;0;1
09.625.321/0001-56;2022-01-01;4;120712;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;Debêntures;756;42;0
10.139.870/0001-08;2022-01-01;7;125528;NEOGRID PARTICIPAÇÕES S.A.;Debêntures;0;18;1
