CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Especie_Acao;Tipo_Classe_Acao_Preferencial;Quantidade_Adquirida;Escala_Cotacao;Quantidade_Prevista;Valor_Preco_Medio;Percentual_Previsto;Percentual_Adquirido
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46886;Ordinária;;0;R$ por Unidade;36956402;0.00;1.000000;0.000000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46886;Preferencial;;0;R$ por Unidade;36956402;0.00;1.000000;0.000000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46887;Ordinária;;6465700;R$ por Unidade;37256072;11.61;1.000000;17.354000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46887;Preferencial;;6456700;R$ por Unidade;37256072;11.61;1.000000;17.354000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46888;Ordinária;;11743600;R$ por Unidade;37753760;34.14;1.000000;31.000000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46888;Preferencial;;11743600;R$ por Unidade;37753760;34.14;1.000000;31.000000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46889;Ordinária;;4089700;R$ por Unidade;38717204;15.98;1.030000;10.560000
90.400.888/0001-42;2022-01-01;12;127163;BCO SANTANDER (BRASIL) S.A.;46889;Preferencial;;4089700;R$ por Unidade;38717204;15.98;1.030000;10.560000
91.983.056/0001-69;2022-01-01;15;125070;KEPLER WEBER S.A.;46147;Ordinária;;3032416;R$ por Unidade;3032416;35.21;0.099912;100.000000
92.012.467/0001-70;2022-01-01;9;125822;GRAZZIOTIN S.A.;46555;Ordinária;;19800;R$ por Unidade;243473;42.58;10.000000;8.132300
92.012.467/0001-70;2022-01-01;9;125822;GRAZZIOTIN S.A.;46555;Preferencial;;260600;R$ por Unidade;793336;42.79;10.000000;32.848600
92.012.467/0001-70;2022-01-01;9;125822;GRAZZIOTIN S.A.;46556;Ordinária;;59942;R$ por Unidade;252500;34.59;23.739405;23.739505
