CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Data_Encerramento;Variacao_Percentual_Valor_Contabil;Variacao_Percentual_Valor_Mercado;Valor_Montante_Dividendos_Recebidos
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721200;2022-12-31;1.34000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721200;2021-12-31;0.00000000;0.00000000;32115567.12
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721200;2020-12-31;0.00000000;0.00000000;2661647.31
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721200;2019-12-31;0.00000000;0.00000000;8198835.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721201;2022-12-31;0.00000000;16.74000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721201;2021-12-31;0.00000000;-24.36000000;1508720.69
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721201;2020-12-31;0.00000000;-7.91000000;855319.42
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721201;2019-12-31;0.00000000;24.56000000;1420628.66
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721202;2022-12-31;11.31000000;0.00000000;0.00
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721202;2021-12-31;0.00000000;0.00000000;10211380.48
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721202;2020-12-31;413.71000000;0.00000000;36856728.01
00.001.180/0001-26;2022-01-01;28;127025;CENTRAIS ELET BRAS S.A. - ELETROBRAS;721202;2019-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716073;2022-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716073;2021-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716073;2020-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716073;2019-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716074;2022-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716074;2021-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716074;2020-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716074;2019-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716075;2022-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716075;2021-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716075;2020-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716075;2019-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716076;2022-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716076;2021-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716076;2020-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716076;2019-12-31;0.00000000;0.00000000;0.00
00.070.698/0001-11;2022-01-01;5;125544;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;716077;2022-12-31;0.00000000;0.00000000;0.00
